"","locus_tag","gene"
"433","LFT_02032","ftsH"
"434","LFT_02033","folP"
"435","LFT_02038","yecD"
"436","LFT_02078","czcD"
"437","LFT_02102","recD"
"438","LFT_02103","recB"
"439","LFT_02104","recC"
"440","LFT_02119","glmM"
"441","LFT_02120","ywnA"
"442","LFT_02134","eno"
"443","LFT_02137","gatB"
"444","LFT_02138","gatA"
"445","LFT_02139","panD"
"446","LFT_02140","gatC"
"447","LFT_02144","glmU"
"448","LFT_02147","cadI"
"449","LFT_02154","mtnB"
"450","LFT_02155","mtnX"
"451","LFT_02156","mtnW"
"452","LFT_02157","mtnD"
"453","LFT_02160","perR"
"454","LFT_02165","metG"
"455","LFT_02179","der"
"456","LFT_02180","ppsA"
"457","LFT_02183","argA"
"458","LFT_02190","purN"
"459","LFT_02191","purM"
"460","LFT_02195","fabF"
"461","LFT_02196","acpP"
"462","LFT_02198","fabD"
"463","LFT_02200","plsX"
"464","LFT_02201","rpmF"
"465","LFT_02203","proS"
"466","LFT_02204","ispG"
"467","LFT_02206","dxr"
"468","LFT_02207","cdsA"
"469","LFT_02208","uppS"
"470","LFT_02210","fhs"
"471","LFT_02211","uppP"
"472","LFT_02212","tatC"
"473","LFT_02213","tatB"
"474","LFT_02217","radA"
"475","LFT_02220","pmbA"
"476","LFT_02221","tldD"
"477","LFT_02274","lipA"
"478","LFT_02275","gpmA"
"479","LFT_02279","rhlE"
"480","LFT_02281","murI"
"481","LFT_02284","rph"
"482","LFT_02288","rluB"
"483","LFT_02295","rnhA"
"484","LFT_02300","dnaG"
"485","LFT_02302","rpsU"
"486","LFT_02305","hisI"
"487","LFT_02306","hisF"
"488","LFT_02308","hisH"
"489","LFT_02309","hisB"
"490","LFT_02311","hisD"
"491","LFT_02312","hisG"
"492","LFT_02313","murA"
"493","LFT_02314","prmC"
"494","LFT_02315","prfA"
"495","LFT_02316","rpmE"
"496","LFT_02317","rho"
"497","LFT_02322","fbp"
"498","LFT_02326","thyX"
"499","LFT_02327","phoU"
"500","LFT_02329","pstA"
"501","LFT_02330","pstC"
"502","LFT_02337","purA"
"503","LFT_02346","mrcB"
"504","LFT_02348","bcsZ"
"505","LFT_02361","fliM"
"506","LFT_02365","ppa"
"507","LFT_02376","fliS"
"508","LFT_02377","fliD"
"509","LFT_02379","fliW"
"510","LFT_02380","csrA"
"511","LFT_02381","flgL"
"512","LFT_02382","flgK"
"513","LFT_02387","flgI"
"514","LFT_02394","dapB"
"515","LFT_02395","dapA"
"516","LFT_02397","lysA"
"517","LFT_02398","argH"
"518","LFT_02399","argG"
"519","LFT_02400","argF"
"520","LFT_02401","argD"
"521","LFT_02403","yajR"
"522","LFT_02406","ubiA"
"523","LFT_02416","rpiB"
"524","LFT_02417","glyA"
